nombre_sector_code,nro_crianza,nro_pabellon,sexo,tipoConstruccion,densidad_pollos_m2,cluster_kmeans,cluster_hierarchical,cluster_dbscan,ganancia_promedio_gramos
bosque viejo,225,31,HEMBRA,Black Out,18.0,1,0,0,62.06955767601502
bosque viejo,225,32,HEMBRA,Black Out,18.0,1,0,0,62.67675616639874
castanos,217,1,HEMBRA,Tradicional,15.0,1,0,0,55.15330325118594
castanos,217,2,HEMBRA,Tradicional,15.0,1,0,0,59.5196219191194
castanos,217,4,HEMBRA,Tradicional,15.0,1,0,0,56.41181434599155
castanos,217,5,HEMBRA,Tradicional,15.0,1,0,0,58.568318373703846
castanos,217,6,HEMBRA,Tradicional,15.0,1,0,0,57.05677804944308
castanos,217,7,HEMBRA,Tradicional,15.0,1,0,0,60.84387177779309
castanos,217,8,HEMBRA,Tradicional,15.0,1,0,0,57.62998661311914
castanos,217,9,HEMBRA,Tradicional,15.0,1,0,0,59.15405260332796
