nombre_sector,nombre_sector_code,nro_crianza,Pabellón,Cantidad Total,Fecha Guía Inicio,Fecha Guía Fin,Peso Promedio,sexo,mes_carga,anio_carga,edad_actual,edad_proyeccion_dias,edad_criterio_proyeccion,Edad,kilos_recibidos_percapita,tipoConstruccion,densidad_pollos_m2,nombre,zonaGeografica,ganancia_proyectada
LOICA,loica,164,7,30000,2025-10-15,2025-10-15,39.153333333333336,MACHO,10,2025,36,30,36.2,30,3.2903878785643146,Tradicional,12.5,loica,COSTA,74.26784708378752
LOICA,loica,164,8,30000,2025-10-14,2025-10-14,48.165,MACHO,10,2025,37,30,36.2,30,3.2903878785643146,Tradicional,12.5,loica,COSTA,74.26784708378752
LOICA,loica,164,9,30000,2025-10-14,2025-10-15,38.1983,MACHO,10,2025,36,30,36.2,30,3.2903878785643146,Tradicional,12.5,loica,COSTA,74.26784708378752
LOICA,loica,164,10,30000,2025-10-14,2025-10-15,50.22,MACHO,10,2025,36,30,36.2,30,3.2903878785643146,Tradicional,12.5,loica,COSTA,74.26784708378752
LOICA,loica,164,11,30000,2025-10-14,2025-10-15,45.952378,MACHO,10,2025,36,30,36.2,30,3.2903878785643146,Tradicional,12.5,loica,COSTA,74.26784708378752
LOICA,loica,164,12,30000,2025-10-15,2025-10-15,38.22943666666667,MACHO,10,2025,36,30,36.2,30,3.2903878785643146,Tradicional,12.5,loica,COSTA,74.26784708378752
LOICA,loica,164,13,30000,2025-10-15,2025-10-15,49.65,MACHO,10,2025,36,30,36.2,30,3.2903878785643146,Tradicional,12.5,loica,COSTA,74.26784708378752
LOICA,loica,164,14,30000,2025-10-15,2025-10-15,48.48333333333333,MACHO,10,2025,36,30,36.2,30,3.2903878785643146,Tradicional,12.5,loica,COSTA,74.26784708378752
LOICA,loica,164,15,30000,2025-10-14,2025-10-14,49.91666666666666,MACHO,10,2025,37,30,36.2,30,3.2903878785643146,Tradicional,12.5,loica,COSTA,74.26784708378752
LOLENCO,lolenco,136,1,19200,2025-10-17,2025-10-17,38.073046875,MACHO,10,2025,34,30,34.0,30,3.071895424836601,Tradicional,12.467532467532468,lolenco,COSTA,73.4119717724054
LOLENCO,lolenco,136,2,19200,2025-10-17,2025-10-17,37.07291666666666,MACHO,10,2025,34,30,34.0,30,3.071895424836601,Tradicional,12.467532467532468,lolenco,COSTA,73.4119717724054
LOLENCO,lolenco,136,3,19200,2025-10-17,2025-10-17,39.208333333333336,MACHO,10,2025,34,30,34.0,30,3.071895424836601,Tradicional,12.467532467532468,lolenco,COSTA,73.4119717724054
LOLENCO,lolenco,136,4,19200,2025-10-17,2025-10-17,43.911458333333336,MACHO,10,2025,34,30,34.0,30,3.071895424836601,Tradicional,12.467532467532468,lolenco,COSTA,73.4119717724054
LOLENCO,lolenco,136,5,19200,2025-10-17,2025-10-17,45.59375,MACHO,10,2025,34,30,34.0,30,3.071895424836601,Tradicional,12.467532467532468,lolenco,COSTA,73.4119717724054
LOLENCO,lolenco,136,6,19200,2025-10-17,2025-10-17,46.0,MACHO,10,2025,34,30,34.0,30,3.071895424836601,Tradicional,12.467532467532468,lolenco,COSTA,73.4119717724054
LOLENCO,lolenco,136,7,19200,2025-10-17,2025-10-17,46.578125,MACHO,10,2025,34,30,34.0,30,3.071895424836601,Tradicional,12.467532467532468,lolenco,COSTA,73.4119717724054
